,File #,Action Date,Title,Vote,Meeting Body
11,230505.0,10/30/2023,"Ordinance amending the Planning Code to create the Wawona Street and 45th Avenue Cultural Center Special Use District (Assessor’s Parcel Block No. 2513, Lot No. 026) to facilitate the redevelopment of a cultural center; amending the Zoning Map to show the Wawona Street and 45th Avenue Cultural Center Special Use District; amending the Local Coastal Program to add the Wawona Street and 45th Avenue Cultural Center Special Use District, subject to certification by the California Coastal Commission; affirming the Planning Department’s determination under the California Environmental Quality Act; a",Excused,Land Use and Transportation Committee
12,230505.0,10/30/2023,"Ordinance amending the Planning Code to create the Wawona Street and 45th Avenue Cultural Center Special Use District (Assessor’s Parcel Block No. 2513, Lot No. 026) to facilitate the redevelopment of a cultural center; amending the Zoning Map to show the Wawona Street and 45th Avenue Cultural Center Special Use District; amending the Local Coastal Program to add the Wawona Street and 45th Avenue Cultural Center Special Use District, subject to certification by the California Coastal Commission; affirming the Planning Department’s determination under the California Environmental Quality Act; a",Excused,Land Use and Transportation Committee
13,230768.0,10/30/2023,"Ordinance amending the Public Works Code to streamline and authorize the approval of certain neighborhood amenities, also known as Love Our Neighborhoods Projects, in sidewalks and other public right-of-ways within the Department of Public Works’ jurisdiction, to reduce fees for certain minor encroachment permits, to waive certain annual encroachment assessments, to clarify the approval process for commemorative plaques, and to clarify the permitting, revocation, and restoration requirements for all minor encroachment permits; and affirming the Planning Department’s determination under the Cal",Excused,Land Use and Transportation Committee
14,230446.0,10/30/2023,"Ordinance amending the Planning Code to encourage housing production by 1) exempting, under certain conditions, specified housing projects from the notice and review procedures of Section 311 and the Conditional Use requirement of Section 317, in areas outside of Priority Equity Geographies, which are identified in the Housing Element as areas or neighborhoods with a high density of vulnerable populations, and areas outside RH (Residential House) Districts within the Family Housing Opportunity Special Use District; 2) removing the Conditional Use requirement for several types of housing projec",Excused,Land Use and Transportation Committee
15,231142.0,10/30/2023,"Ordinance amending the Planning Code to encourage housing production by (1) exempting, under certain conditions, specified housing projects from the notice and review procedures of Section 311 and the Conditional Use requirement of Section 317, in areas outside of Priority Equity Geographies, which are identified in the Housing Element as areas or neighborhoods with a high density of vulnerable populations, and areas outside RH (Residential House) Districts within the Family Housing Opportunity Special Use District; (2) removing the Conditional Use requirement for several types of housing proj",Excused,Land Use and Transportation Committee
16,231142.0,10/30/2023,"Ordinance amending the Planning Code to encourage housing production by (1) exempting, under certain conditions, specified housing projects from the notice and review procedures of Section 311 and the Conditional Use requirement of Section 317, in areas outside of Priority Equity Geographies, which are identified in the Housing Element as areas or neighborhoods with a high density of vulnerable populations, and areas outside RH (Residential House) Districts within the Family Housing Opportunity Special Use District; (2) removing the Conditional Use requirement for several types of housing proj",Excused,Land Use and Transportation Committee
17,220709.0,10/23/2023,"Ordinance amending the Planning Code to change the zoning controls in the Castro Street Neighborhood Commercial District to exclude Article 10 Landmark buildings from use size limitation and allow Nighttime Entertainment with a Conditional Use authorization on the second floor; affirming the Planning Department’s determination under the California Environmental Quality Act; and making findings of consistency with the General Plan and the eight priority policies of Planning Code, Section 101.1, and findings of public necessity, convenience, and welfare under Planning Code, Section 302.",Aye,Land Use and Transportation Committee
18,230924.0,10/23/2023,"Ordinance amending the Planning Code to create the Non-Profit Arts Education Special Use District (Assessor’s Parcel Block No. 49, Lot No. 1, generally bounded by Francisco Street, Jones Street, Chestnut Street, and Leavenworth Street, and numbered as 800 Chestnut Street); amending the Zoning Map to show the Non-Profit Arts Education Special Use District; affirming the Planning Department’s determination under the California Environmental Quality Act; making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101; and making findings of publ",Aye,Land Use and Transportation Committee
19,231032.0,10/19/2023,Hearing on the UN Plaza Activation Project and relocation of the Heart of the City Farmers’ Market; and requesting the Recreation and Parks Department and Civic Center Community Benefit District to report.,Aye,Government Audit and Oversight Committee
20,220886.0,10/19/2023,Resolution urging the San Francisco Municipal Transportation Agency (SFMTA) Board of Directors to remove Third Party Dispatch from its Taxi Upfront Fare Pilot Program.,Aye,Government Audit and Oversight Committee
21,230959.0,10/19/2023,"Ordinance authorizing settlement of the lawsuit filed by Katy Sullivan against the City and County of San Francisco for $207,500; the lawsuit was filed on August 13, 2021, in San Francisco Superior Court, Case No. CGC-21-593827; entitled Katy Sullivan v. City and County of San Francisco, et al.; the lawsuit involves an employment dispute.",Aye,Government Audit and Oversight Committee
22,230960.0,10/19/2023,"Ordinance authorizing settlement of the lawsuit filed by Twilio Inc. against the City and County of San Francisco for $18,000,000; the lawsuit was filed on May 27, 2021, in San Francisco Superior Court, Case No. CGC-21-592267; entitled Twilio Inc. v. City and County of San Francisco; the lawsuit involves a claim for refund of telephone users taxes and access line taxes, and related penalties and interest, for tax periods June 1, 2009, through and including December 31, 2018; other material terms of the settlement are that the City will not impose additional telephone users taxes and access lin",Aye,Government Audit and Oversight Committee
23,230996.0,10/19/2023,"Ordinance authorizing settlement of the lawsuit filed by Adam Smith, et al., against the City and County of San Francisco for return of the Expedited Conversion Program fee in the amount of $130,401.66; the lawsuit was filed on September 28, 2021, in San Francisco Superior Court, Case No. CPF-21-517578; entitled Adam Smith, et al. v. City and County of San Francisco; the lawsuit challenges the Board of Supervisors’ denial of Petitioners’ application to convert their six-unit building at 424-434 Francisco Street to condominiums under the City’s Expedited Conversion Program (Subd. Code, Section",Aye,Government Audit and Oversight Committee
24,230963.0,10/19/2023,"Resolution approving the settlement of the unlitigated claim filed by Macquarie Holdings (U.S.A.) Inc. against the City and County of San Francisco for $252,526.71; the claim was filed on May 1, 2023; the claim involves a refund of gross receipts and homelessness gross receipts taxes.",Aye,Government Audit and Oversight Committee
25,230981.0,10/19/2023,"Resolution approving the settlement of the unlitigated claims filed by The Bank of New York Mellon Trust Company, N.A. against the City and County of San Francisco for $1,355,943.09; the claims were filed on July 13, 2023; the claims involve a refund of gross receipts and homelessness gross receipts taxes.",Aye,Government Audit and Oversight Committee
26,230997.0,10/19/2023,"Resolution approving the settlement of the unlitigated claims filed by PFP Holdings, Inc. against the City and County of San Francisco for $1,039,237.26; the claims were filed on May 4, 2023; the claims involve a refund of payroll expense, gross receipts, and homelessness gross receipts taxes.",Aye,Government Audit and Oversight Committee
27,230877.0,10/16/2023,Resolution adding the Commemorative Street Name “Elsie Tonelli Street” to Mission Street between Santa Rosa Avenue and Excelsior Avenue in recognition of her contribution to San Francisco as a local figure.,Aye,Land Use and Transportation Committee
28,230941.0,10/16/2023,"Resolution authorizing the placement of the Lodginghouse District of San Francisco’s Cultural Heritage District plaques, to be installed on the sidewalks at various historic location markers along the 6th Street corridor between Market Street and Howard Street, and initiating the process set forth in Public Works Code, Sections 789 et seq., to provide for the creation of a program for and installation of commemorative plaques in the Lodginghouse District.",Aye,Land Use and Transportation Committee
29,230942.0,10/16/2023,"Resolution authorizing the placement of the SoMa Pilipinas Filipino Cultural Heritage District plaques, to be installed on the sidewalk at various historic location markers along the 6th Street corridor between Market Street and Howard Street, and initiating the process set forth in Public Works Code, Sections 789 et seq., to provide for the creation of a program for and installation of commemorative plaques in the SoMa Pilipinas Cultural District.",Aye,Land Use and Transportation Committee
30,230943.0,10/16/2023,"Resolution authorizing the placement of the Compton’s Transgender Cultural District of San Francisco’s Cultural Heritage District plaques, to be installed on the sidewalks at various historic location markers along the 6th Street corridor between Market Street and Howard Street, and initiating the process set forth in Public Works Code, Sections 789 et seq., to provide for the creation of a program for and installation of commemorative plaques in Compton’s Transgender Cultural District.",Aye,Land Use and Transportation Committee
31,230944.0,10/16/2023,"Resolution of Intent to establish a Street Plaza at Eagle Plaza 383-12th Street, under Administrative Code, Chapter 94, and urging Public Works to initiate the process to solicit a Plaza Steward at this location.",Aye,Land Use and Transportation Committee
32,220709.0,10/16/2023,"Ordinance amending the Planning Code to change the zoning controls in the Castro Street Neighborhood Commercial District to exclude Article 10 Landmark buildings from use size limitation and allow Nighttime Entertainment with a Conditional Use authorization on the second floor; affirming the Planning Department’s determination under the California Environmental Quality Act; and making findings of consistency with the General Plan and the eight priority policies of Planning Code, Section 101.1, and findings of public necessity, convenience, and welfare under Planning Code, Section 302.",Aye,Land Use and Transportation Committee
33,220709.0,10/16/2023,"Ordinance amending the Planning Code to change the zoning controls in the Castro Street Neighborhood Commercial District to exclude Article 10 Landmark buildings from use size limitation and allow Nighttime Entertainment with a Conditional Use authorization on the second floor; affirming the Planning Department’s determination under the California Environmental Quality Act; and making findings of consistency with the General Plan and the eight priority policies of Planning Code, Section 101.1, and findings of public necessity, convenience, and welfare under Planning Code, Section 302.",Aye,Land Use and Transportation Committee
34,230446.0,10/16/2023,"Ordinance amending the Planning Code to encourage housing production by 1) exempting, under certain conditions, specified housing projects from the notice and review procedures of Section 311 and the Conditional Use requirement of Section 317, in areas outside of Priority Equity Geographies, which are identified in the Housing Element as areas or neighborhoods with a high density of vulnerable populations, and areas outside RH (Residential House) Districts within the Family Housing Opportunity Special Use District; 2) removing the Conditional Use requirement for several types of housing projec",Aye,Land Use and Transportation Committee
35,230853.0,10/2/2023,"Ordinance amending the Park Code to restrict private vehicles from a portion of John F. Shelley Drive, between the Upper Reservoir Parking Lot and Mansell Street, in McLaren Park.",Aye,Land Use and Transportation Committee
36,230256.0,10/2/2023,"Ordinance delegating Board of Supervisors approval authority under Charter, Section 9.118 and Administrative Code, Section 23.30 to the Real Estate Division, based on the recommendation of Mayor’s Office of Housing and Community Development (“MOHCD”), to amend certain existing leases regarding residual rent payments and lender protections for 100% affordable housing projects.",Aye,Land Use and Transportation Committee
37,230256.0,10/2/2023,"Ordinance delegating Board of Supervisors approval authority under Charter, Section 9.118 and Administrative Code, Section 23.30 to the Real Estate Division, based on the recommendation of Mayor’s Office of Housing and Community Development (“MOHCD”), to amend certain existing leases regarding residual rent payments and lender protections for 100% affordable housing projects.",Aye,Land Use and Transportation Committee
38,220709.0,10/2/2023,"Ordinance amending the Planning Code to change the zoning controls in the Castro Street Neighborhood Commercial District to exclude Article 10 Landmark buildings from use size limitation and allow Nighttime Entertainment with a Conditional Use authorization on the second floor; affirming the Planning Department’s determination under the California Environmental Quality Act; and making findings of consistency with the General Plan and the eight priority policies of Planning Code, Section 101.1, and findings of public necessity, convenience, and welfare under Planning Code, Section 302.",Aye,Land Use and Transportation Committee
39,230446.0,10/2/2023,"Ordinance amending the Planning Code to encourage housing production by 1) exempting, under certain conditions, specified housing projects from the notice and review procedures of Section 311 and the Conditional Use requirement of Section 317, in areas outside of Priority Equity Geographies, which are identified in the Housing Element as areas or neighborhoods with a high density of vulnerable populations, and areas outside RH (Residential House) Districts within the Family Housing Opportunity Special Use District; 2) removing the Conditional Use requirement for several types of housing projec",Aye,Land Use and Transportation Committee
40,230446.0,10/2/2023,"Ordinance amending the Planning Code to encourage housing production by 1) exempting, under certain conditions, specified housing projects from the notice and review procedures of Section 311 and the Conditional Use requirement of Section 317, in areas outside of Priority Equity Geographies, which are identified in the Housing Element as areas or neighborhoods with a high density of vulnerable populations, and areas outside RH (Residential House) Districts within the Family Housing Opportunity Special Use District; 2) removing the Conditional Use requirement for several types of housing projec",Aye,Land Use and Transportation Committee
41,230446.0,10/2/2023,"Ordinance amending the Planning Code to encourage housing production by 1) exempting, under certain conditions, specified housing projects from the notice and review procedures of Section 311 and the Conditional Use requirement of Section 317, in areas outside of Priority Equity Geographies, which are identified in the Housing Element as areas or neighborhoods with a high density of vulnerable populations, and areas outside RH (Residential House) Districts within the Family Housing Opportunity Special Use District; 2) removing the Conditional Use requirement for several types of housing projec",Aye,Land Use and Transportation Committee
42,230826.0,9/21/2023,"Hearing to discuss the City's comprehensive plan to address car break-ins; and requesting the Mayor's Office, Police Department, Office of the District Attorney, Office of Economic and Workforce Development, Municipal Transportation Agency, and Department of Emergency Management to report.",Aye,Government Audit and Oversight Committee
43,230951.0,9/21/2023,"Resolution expressing the Board of Supervisors’ concern regarding the development of the United Nations (UN) Activation Plan and displacement of the Heart of the City Farmers’ Market from the UN Plaza, urging the Recreation and Park Department to adopt mitigations requested by the Farmers’ Market, and urging the Recreation and Park Department to provide information to the public and the Board of Supervisors regarding the pilot activation plan.",Aye,Government Audit and Oversight Committee
44,230788.0,9/21/2023,"Ordinance authorizing settlement of the lawsuit filed by Akashni Bhan against the City and County of San Francisco, Sergeant Jennifer Streegan, Sergeant Steven Pomatto, Officer Anthony Oerlemans, and Officer Jennifer O’Keffee for $175,000; the lawsuit was filed on October 4, 2019, in San Francisco Superior Court, Case No. CGC-19-579798; entitled Akashni Bhan v. City and County of San Francisco, et. al.; the lawsuit involves an employment dispute.",Aye,Government Audit and Oversight Committee
45,230792.0,9/21/2023,"Ordinance authorizing settlement of the lawsuit filed by Bi Jun Zhang against the City and County of San Francisco for $35,000; the lawsuit was filed on May 17, 2022, in San Francisco Superior Court, Case No. CGC-22-599662; entitled Bi Jun Zhang v. City and County of San Francisco, et al.; the lawsuit involves a personal injury to Plaintiff from uneven pavement.",Aye,Government Audit and Oversight Committee
46,230791.0,9/21/2023,"Ordinance authorizing settlement of the lawsuit filed by Cheri Pierce against the City and County of San Francisco for $75,000; the lawsuit was filed on April 26, 2022, in San Francisco Superior Court, Case No. CGC-22-599362; entitled Cheri Pierce v. City and County of San Francisco, et al.; the lawsuit involves alleged personal injury arising out of fall on uneven sidewalk.",Aye,Government Audit and Oversight Committee
47,230793.0,9/21/2023,"Ordinance authorizing settlement of the lawsuit filed by Wayne Kha against the City and County of San Francisco for $465,000; the lawsuit was filed on September 7, 2021, in San Francisco Superior Court, Case No. CGC-21-595136; entitled Wayne Kha v. Johnathon Ng, et al.; the lawsuit involves an alleged personal injury arising from an accident involving a police car.",Aye,Government Audit and Oversight Committee
48,230794.0,9/21/2023,"Ordinance authorizing settlement of the lawsuit filed by Digital Realty Trust, Inc. against the City and County of San Francisco for $1,858,150.71; the lawsuit was filed on April 18, 2023, in San Francisco Superior Court, Case No. CGC-23-605912, entitled Digital Realty Trust, Inc. v. City and County of San Francisco et al.; the lawsuit involves a claim for refund of Early Care and Education Commercial Rents Tax and Homelessness Gross Receipts Tax; an additional material term of the settlement is that Digital Realty Trust, Inc. and its related entities shall take certain filing positions with r",Aye,Government Audit and Oversight Committee
49,230795.0,9/21/2023,"Ordinance authorizing settlement of the cross-complaint filed by Build Group, Inc. against the City and County of San Francisco for a payment to Build Group, Inc. of $211,129.46; the cross-complaint was filed on November 22, 2022, in the Superior Court of the State of California, County of San Francisco, Case No. CGC-22-598717; entitled CPM Environmental, Inc. v. Build Group, Inc. and DOES 1-100, et al.; the lawsuit involves allegations of breach of contract relating to the renovation of the Maxine Hall Health Center; other material terms of the settlement are that Build Group, Inc. waives all",Aye,Government Audit and Oversight Committee
50,230806.0,9/21/2023,"Ordinance authorizing settlement of the lawsuit filed by Debra Crismani against the City and County of San Francisco for $90,000; the lawsuit was filed on March 21, 2022, in San Francisco Superior Court, Case No. CGC-22-598779; entitled Debra Crismani v. City and County of San Francisco, et al.; the lawsuit involves alleged personal injury on a City sidewalk.",Aye,Government Audit and Oversight Committee
51,230830.0,9/21/2023,"Ordinance authorizing settlement of the lawsuit filed by Ike Ohannesyan against the City and County of San Francisco for $50,000; the lawsuit was filed on May 17, 2021, in San Francisco Superior Court, Case No. CGC-21-591955; entitled Ike Ohannesyan v. Johnathon Ng, et al.; the lawsuit involves an alleged personal injury arising from an accident involving a police car.",Aye,Government Audit and Oversight Committee
52,230893.0,9/21/2023,"Ordinance authorizing settlement of the lawsuit filed by Duk Soon Lee against the City and County of San Francisco for $225,000; the lawsuit was filed on October 12, 2021, in San Francisco Superior Court, Case No. CGC-21-595854; entitled Duk Soon Lee v. Jamie Austin Miller, et al.; the lawsuit involves alleged personal injury arising out of City vehicle collision.",Aye,Government Audit and Oversight Committee
53,230894.0,9/21/2023,"Ordinance authorizing settlement of the lawsuit filed by Breon Johnson against the City and County of San Francisco for $100,000; the lawsuit was filed on September 26, 2022, in San Francisco Superior Court, Case No. CGC-22-601937; entitled Breon Johnson v. The Regents of The University of California, et al.; the lawsuit involves alleged medical negligence.",Aye,Government Audit and Oversight Committee
54,230896.0,9/21/2023,"Ordinance authorizing settlement of the lawsuit filed by Tatiana Umnov and Anatoly Umnov against the City and County of San Francisco for $450,000; the lawsuit was filed on September 20, 2021, in San Francisco Superior Court, Case No. CGC-21-595303; entitled Tatiana Umnov, Anatoly Umnov v. City and County of San Francisco, et al.; the lawsuit involves alleged personal injury on a City sidewalk.",Aye,Government Audit and Oversight Committee
55,230796.0,9/21/2023,"Resolution approving the settlement of the unlitigated claim filed by Cincinnati Insurance Company against the City and County of San Francisco for $37,636.23; the claim was filed on January 30, 2023; the claim involves alleged property damage arising from flooding caused by a water main rupture.",Aye,Government Audit and Oversight Committee
56,230797.0,9/21/2023,"Resolution approving the settlement of the unlitigated claim filed by Arthur Villegas against the City and County of San Francisco for $50,000; the claim was filed on May 8, 2023; the claim involves alleged property damage arising from flooding caused by a water main rupture.",Aye,Government Audit and Oversight Committee
57,230798.0,9/21/2023,"Resolution approving the settlement of the unlitigated claim filed by Ronghan Guan against the City and County of San Francisco for $50,450; the claim was filed on October 19, 2022; the claim involves alleged property damage due to flooding caused by a water main rupture.",Aye,Government Audit and Oversight Committee
58,230799.0,9/21/2023,"Resolution approving the settlement of the unlitigated claims filed by Glencore Ltd. against the City and County of San Francisco for $197,203.64; the claims were filed on March 27, 2023; the claims involve a refund of gross receipts taxes and payroll expense taxes.",Aye,Government Audit and Oversight Committee
59,230899.0,9/21/2023,"Resolution approving the settlement of the unlitigated claims filed by Niantic, Inc. against the City and County of San Francisco for $599,398.66; the claims were filed on February 28, 2023; the claims involve a refund of Payroll Expense Tax, Gross Receipts Tax, and Homelessness Gross Receipts Tax.",Aye,Government Audit and Oversight Committee
60,230900.0,9/21/2023,"Resolution approving the settlement of the unlitigated claim filed by Bing Situ against the City and County of San Francisco for $64,483.41; the claim was filed on April 27, 2023; the claim involves alleged property damage arising from flooding caused by a water main rupture.",Aye,Government Audit and Oversight Committee
61,230901.0,9/21/2023,"Resolution approving the settlement of the unlitigated claim filed by Yaol Oenn Wong against the City and County of San Francisco for $50,000; the claim was filed on April 24, 2023; the claim involves property damage arising from flooding alleged to be caused by a water main rupture.",Aye,Government Audit and Oversight Committee
62,230902.0,9/21/2023,"Resolution approving the settlement of the unlitigated claim filed by Jessica Middleton against the City and County of San Francisco for $32,439.60; the claim was filed on March 24, 2023; the claim involves property damage arising from flooding alleged to be caused by a water main rupture.",Aye,Government Audit and Oversight Committee
63,230702.0,9/19/2023,Ordinance amending the Administrative Code to exempt payments received by housed participants in Guaranteed Income pilot programs from the Human Service Agency’s determinations regarding the participants’ eligibility for the County Adult Assistance Programs and the amount of aid the participants may receive.,Aye,Board of Supervisors
64,230833.0,9/19/2023,"Ordinance authorizing the execution and delivery of Certificates of Participation, in one or more series on a tax-exempt and/or taxable basis and from time to time, evidencing and representing an aggregate principal amount of not to exceed $77,170,000 (“Certificates”), to finance and refinance certain capital improvement projects within the City and County of San Francisco’s (“City”) capital plan and generally consisting of critical repairs, renovations and improvements to City-owned buildings, facilities, streets and works maintained and utilized by various City departments; approving the for",Aye,Board of Supervisors
65,230813.0,9/19/2023,"Resolution 1) declaring the City’s real property located at 1939 Market Street (Assessor’s Parcel Block No. 3501, Lot No. 006) (“1939 Market Property”) and 1515 South Van Ness Avenue (“1515 SVN” Property, and together with the 1939 Market Property, collectively, the “Property”) as Exempt Surplus Land under California Government Code, Sections 25539.4 and 54221(f)(1)(A); 2) affirming use of the Property by the Mayor’s Office of Housing and Community Development (“MOHCD”) for the development as 100% affordable housing with ancillary commercial space; 3) affirming MOHCD’s intent to convey the Pro",Aye,Board of Supervisors
66,230879.0,9/19/2023,"Resolution approving and authorizing the Director of Property to enter into a first amendment to the current lease (“Lease”) for the San Francisco Wholesale Produce Market, located near 2095 Jerrold Avenue (generally bordering Highway 280 and Innes and Kirkwood Avenues, and Toland and Rankin Streets), with the San Francisco Market Corporation to distribute City funds to support the development of certain elements of the Produce Market Reinvestment Plan; affirming the Planning Department’s determination under the California Environmental Quality Act; adopting findings that the contemplated tran",Aye,Board of Supervisors
67,230767.0,9/19/2023,"Ordinance waiving specified requirements in the Administrative Code to allow seating area designated as a curbside traffic island on Taraval Street at 46th Avenue to be defined as two sidewalk shared spaces, subject to certain requirements; and affirming the Planning Department’s determination under the California Environmental Quality Act.",Aye,Board of Supervisors
68,230858.0,9/19/2023,"Ordinance acknowledging the Treasure Island Development Authority’s acceptance of certain improvements on a portion of the Yerba Buena Island Hilltop Parks known as The Rocks (Assessor’s Parcel Block No. 8958, Lot No. 003), adjacent to Macalla Road, and the Authority’s acceptance of the park improvements for maintenance and liability purposes; dedicating The Rocks to public use; designating the property for public open space and park purposes; adopting findings under the California Environmental Quality Act; making findings of consistency with the General Plan, and the eight priority policies",Aye,Board of Supervisors
69,230817.0,9/19/2023,"Resolution extending and modifying interim zoning controls enacted in Resolution No. 109-22, to require a Conditional Use authorization for proposed Parcel Delivery Service uses, and to modify those interim controls in two ways: 1) to apply to Parcel Delivery Services uses greater than 10,000 square feet; and 2) to use the definition of Parcel Delivery Services that was in effect as to the effective date of Resolution No. 109-22; affirming the Planning Department’s determination under the California Environmental Quality Act; and making findings of consistency with the General Plan, and the ei",Aye,Board of Supervisors
70,230920.0,9/19/2023,"Motion appointing Norlissa Cooper, term ending January 15, 2024, to the San Francisco Health Authority.",Aye,Board of Supervisors
71,230961.0,9/19/2023,"Motion appointing David Mauroff, term ending June 1, 2024, to the Reentry Council.",Aye,Board of Supervisors
72,230729.0,9/19/2023,"Resolution determining that the person-to-person, premises-to-premises transfer of a Type-21 off-sale general beer, wine, and distilled spirits liquor license to Coolwater SF LLC, doing business as Slake San Francisco Bottle and Sundry, located at 3239 Balboa Street (District 1), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4.",Aye,Board of Supervisors
73,230731.0,9/19/2023,"Resolution determining that the issuance of a Type-64 special on-sale general theater liquor license to ODC, doing business as the ODC Theater, located at 3153-17th Street (District 9), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose a condition on the issuance of the license.",Aye,Board of Supervisors
74,230923.0,9/19/2023,Ordinance amending the Administrative Code to add the Firefighters Cancer Prevention Foundation to the list of organizations to which City officers and employees may make donations by payroll deduction.,Aye,Board of Supervisors
75,230856.0,9/19/2023,"Motion approving the Mayor’s nomination for the appointment of Hans Baldauf to the Historic Preservation Commission, term ending December 31, 2026.",Aye,Board of Supervisors
76,230975.0,9/19/2023,"Resolution declaring September 19, 2023, as Annette Williams Day in the City and County of San Francisco and honoring the legacy of her career in accessible transportation and in recognition of her exemplary public service on the occasion of her well-deserved retirement.",Aye,Board of Supervisors
77,230979.0,9/19/2023,"Resolution declaring September 21, 2023, as Armenian Independence Day in the City and County of San Francisco and commemorating the 32nd Anniversary of Armenian Independence Day on September 21, 2023.",Aye,Board of Supervisors
78,230976.0,9/19/2023,"Resolution urging the City Administrator to create a centralized framework and strategy by which to coordinate City Departments and eligible community-based organizations, to secure and leverage available 2022 Inflation Reduction Act (IRA) funding, including identifying infrastructure development, financing and grant opportunities to support the creation of Community Resiliency Hubs to provide essential response and recovery support during and after emergencies, including natural and climate disasters; and urging the City Administrator to report back with a plan no later than November 28, 2023",Aye,Board of Supervisors
79,230976.0,9/19/2023,"Resolution urging the City Administrator to create a centralized framework and strategy by which to coordinate City Departments and eligible community-based organizations, to secure and leverage available 2022 Inflation Reduction Act (IRA) funding, including identifying infrastructure development, financing and grant opportunities to support the creation of Community Resiliency Hubs to provide essential response and recovery support during and after emergencies, including natural and climate disasters; and urging the City Administrator to report back with a plan no later than November 28, 2023",Aye,Board of Supervisors
80,230855.0,9/18/2023,"Ordinance amending the Planning Code to: 1) reduce Inclusionary Housing Program requirements, including requirements for projects approved under the Housing Opportunities Means Equity - San Francisco (HOME-SF) program, for projects that have been approved prior to November 1, 2023 and that receive a first construction document within a specified period; 2) adopt a process for those projects to request a modification to conditions of approval related to development impact fees, subject to delegation by the Planning Commission; 3) reduce Article 4 development impact fees, including Inclusionary",Aye,Land Use and Transportation Committee
81,230934.0,9/18/2023,"Resolution approving and authorizing a grant of two easements on the City’s property located at 4840 Mission Street (Assessor’s Parcel Block No. 6959, Lot No. 35), consisting of an easement of 198 square feet of land at the northwest edge of the parcel for electrical equipment and an easement of 395 square feet of land at the northern edge of parcel for gas equipment, between the City and County of San Francisco and Pacific Gas and Electric Company (“PG&E”), for the purpose of providing electrical and gas utilities to 100% affordable housing located on the City’s property, at no cost for a ter",Aye,Land Use and Transportation Committee
