ID,Action Date,Title,Vote,Meeting Body,File #
16,10/8/2024,"Resolution authorizing the Port of San Francisco to accept and expend a grant award in the amount of $7,800,000 from the California Coastal Conservancy Climate Ready Program, for Southern Embarcadero Resilience and Enhancement Project for the period of October 1, 2024, through May 31, 2027.",Aye,Board of Supervisors,240886
17,10/8/2024,Ordinance amending the Housing Code to require R-1 and R-2 occupancy group buildings to maintain at least one existing elevator for residents’ use; and affirming the Planning Department’s determination under the California Environmental Quality Act.,Aye,Board of Supervisors,240807
18,10/8/2024,"Motion scheduling the Board of Supervisors to sit as a Committee of the Whole, on October 8, 2024, at 3:00 p.m., to hold a public hearing on the state of the hotel industry in San Francisco and the conditions for guests and workers within the industry, and the """"Status of the San Francisco Economy"""" report; and requesting the City Controller to report.",Aye,Board of Supervisors,240972
19,10/8/2024,"Resolution approving a sixth amendment to Contract 1000020021 between the City, acting by and through the Office of Contract Administration (OCA), and Sunset Scavenger Company d/b/a Recology Sunset Scavenger, Golden Gate Disposal & Recycling Company d/b/a Recology Golden Gate, and Recology San Francisco (collectively “Contractor”) for refuse collection services at City facilities, increasing the contract amount by $1,500,000 for a total not to exceed amount of $45,300,000; and extending the duration of the term by two months from November 1, 2024, for a total contract term of December 1, 2020,",Aye,Board of Supervisors,240863
20,10/8/2024,"Ordinance amending the Administrative Code to provide that newly constructed dwelling units that first received a certificate of occupancy between June 14, 1979, and June 13, 1994, shall be generally subject to rent control, to the extent authorized by a future modification or repeal of the Costa-Hawkins Rental Housing Act; and making certain changes to clarify existing law regarding rent control exemptions under Costa-Hawkins.",No,Board of Supervisors,240880
21,10/8/2024,"Ordinance amending the Administrative Code to provide that newly constructed dwelling units that first received a certificate of occupancy between June 14, 1979, and June 13, 1994, shall be generally subject to rent control, to the extent authorized by a future modification or repeal of the Costa-Hawkins Rental Housing Act; and making certain changes to clarify existing law regarding rent control exemptions under Costa-Hawkins.",Aye,Board of Supervisors,240880
22,10/8/2024,"Ordinance amending the Administrative Code to provide that newly constructed dwelling units that first received a certificate of occupancy between June 14, 1979, and June 13, 1994, shall be generally subject to rent control, to the extent authorized by a future modification or repeal of the Costa-Hawkins Rental Housing Act; and making certain changes to clarify existing law regarding rent control exemptions under Costa-Hawkins.",Aye,Board of Supervisors,240880
23,10/8/2024,"Ordinance amending the Administrative Code to provide for the confidentiality of client information received by the Office of Victim and Witness Rights (“OVWR”); establish and clarify the responsibilities of OVWR; move the Office of Sexual Harassment and Assault Response and Prevention (“SHARP”) from the Human Rights Commission to OVWR, and require SHARP to offer trauma-informed assistance to victims in navigating City processes, including by supporting victims in non-custodial law enforcement interviews, provided a SHARP employee’s presence does not obstruct a police investigation or interfer",Aye,Board of Supervisors,240700
24,10/8/2024,"Resolution determining that the transfer of a Type-21 off-sale general beer, wine, and distilled spirits liquor license to Union & Hyde LLC., doing business as Union & Hyde, located at 1210 Union Street (District 3), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose a condition on the issuance of the license.",Aye,Board of Supervisors,240785
25,10/8/2024,"Resolution determining that the issuance of a Type-90 on-sale general music venue liquor license to 3089 16th Street LLC, to do business as Skylark located at 3089-16th Street (District 9), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose conditions on the issuance of the license.",Aye,Board of Supervisors,240822
26,10/8/2024,"Ordinance amending the Administrative Code to establish two Entertainment Zones: the Mid-Market Entertainment Zone, on Market Street between 5th Street and 6th Street, with eastern boundaries at Mason Street on the north side of Market Street and at 5th Street on the south side of Market Street, and western boundaries at the intersection of Golden Gate Avenue and Taylor Street on the north side of Market Street and at 6th Street on the south side of Market Street; and the Arena Entertainment Zone, bounded by Warriors Way on the north, Terry A. Francois Boulevard on the east, 16th Street on the",Aye,Board of Supervisors,240843
27,10/8/2024,Ordinance amending the Building Code to allow new construction that complies with the Design Guidelines for Electric-Ready Buildings to install gas infrastructure to serve appliances covered by the Energy Policy and Conservation Act (EPCA); adopting findings of local conditions under the California Health and Safety Code; affirming the Planning Department’s determination under the California Environmental Quality Act; and directing the Clerk of the Board of Supervisors to forward this Ordinance to the California Building Standards Commission upon final passage.,Aye,Board of Supervisors,240845
28,10/8/2024,Resolution urging the City Attorney and the San Francisco Public Utilities Commission to immediately resolve its lawsuit regarding the Clean Water Act with the United States Environmental Protection Agency.,Aye,Board of Supervisors,240940
29,10/8/2024,Resolution urging the City Attorney and the San Francisco Public Utilities Commission to immediately resolve its lawsuit regarding the Clean Water Act with the United States Environmental Protection Agency.,Aye,Board of Supervisors,240940
30,10/8/2024,"Motion approving the Mayor's nomination for the appointment of Avni Jamdar to the Public Utilities Commission, for a term ending August 1, 2028.",Aye,Board of Supervisors,240867
31,10/8/2024,"Motion approving the Mayor's nomination for the appointment of Joshua Arce to the Public Utilities Commission, for a term ending August 1, 2026.",Aye,Board of Supervisors,240868
32,10/8/2024,"Motion approving the Mayor's nomination for the appointment of Stephen Leveroni to the Public Utilities Commission, for a term ending August 1, 2028.",Aye,Board of Supervisors,240869
33,10/8/2024,"Motion authorizing City Employees to assist the Department of Elections with the November 5, 2024, Consolidated General Election.",Aye,Board of Supervisors,240971
34,10/8/2024,"Motion scheduling the Board of Supervisors to sit as a Committee of the Whole on October 29, 2024, at 4:00 p.m. to examine the results of the Whole School Lesson Study Math Pilot Program that is funded by the City, to hear from the school sites that participated in the study who will share data from the first two years of the pilot, clarify the San Francisco Unified School District’s (SFUSD) and the Department of Children, Youth and Their Family’s (DCYF) commitment to continuing the program with funding from the Student Success Fund given its demonstrated, data-driven progress, and understand",Aye,Board of Supervisors,240975
35,10/8/2024,"Resolution recognizing and honoring the Chinese Consolidated Benevolent Association’s 175th Anniversary; and declaring October 5, 2024, as “Chinese Consolidated Benevolent Association Day,” in the City and County of San Francisco.",Aye,Board of Supervisors,240979
36,10/8/2024,"Resolution recognizing October 2024 as """"Domestic Violence Awareness Month"""" in the City and County of San Francisco, and reaffirming its commitment to supporting initiatives that raise awareness, prevent domestic violence, and provide resources and services to survivors.",Aye,Board of Supervisors,240970
37,10/8/2024,"Motion directing the Clerk of the Board of Supervisors to issue subpoenas duces tecum to Daniel Lawson and Tom Yeh to appear at a future Government Audit and Oversight Committee (GAO) hearing, date to be determined, should they fail to attend and answer questions, as requested, in their roles as former Board members SF SAFE at a special GAO hearing.",Aye,Board of Supervisors,240974
38,10/8/2024,"Motion directing the Clerk of the Board of Supervisors to issue subpoenas duces tecum to Daniel Lawson and Tom Yeh to appear at a future Government Audit and Oversight Committee (GAO) hearing, date to be determined, should they fail to attend and answer questions, as requested, in their roles as former Board members SF SAFE at a special GAO hearing.",Aye,Board of Supervisors,240974
39,10/7/2024,"Ordinance amending the Administrative Code to establish two Entertainment Zones: the Mid-Market Entertainment Zone, on Market Street between 5th Street and 6th Street, with eastern boundaries at Mason Street on the north side of Market Street and at 5th Street on the south side of Market Street, and western boundaries at the intersection of Golden Gate Avenue and Taylor Street on the north side of Market Street and at 6th Street on the south side of Market Street; and the Arena Entertainment Zone, bounded by Warriors Way on the north, Terry A. Francois Boulevard on the east, 16th Street on the",Aye,Land Use and Transportation Committee,240843
40,10/7/2024,Ordinance amending the Building Code to allow new construction that complies with the Design Guidelines for Electric-Ready Buildings to install gas infrastructure to serve appliances covered by the Energy Policy and Conservation Act (EPCA); adopting findings of local conditions under the California Health and Safety Code; affirming the Planning Department’s determination under the California Environmental Quality Act; and directing the Clerk of the Board of Supervisors to forward this Ordinance to the California Building Standards Commission upon final passage.,Aye,Land Use and Transportation Committee,240845
41,10/7/2024,"Ordinance amending the Public Works Code to waive the major encroachment permit fees for a project to install and maintain mosaic tiles on the Vicha Ratanapakdee Way stairs located in the Anza Vista neighborhood between O'Farrell Street and Terra Anza Avenue and amending the Planning Code to waive the General Plan referral fee associated with this encroachment permit; affirming the Planning Commission’s determination under the California Environmental Quality Act; and making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1.",Aye,Land Use and Transportation Committee,240806
42,10/7/2024,"Ordinance amending the Planning Code to eliminate the public art requirement for 100% affordable housing projects and provide for the relocation or removal of existing artwork at such projects subject to certain conditions; affirming the Planning Commission’s determination under the California Environmental Quality Act; and making findings, including findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1.",Aye,Land Use and Transportation Committee,231268
43,10/7/2024,"Ordinance amending the Public Works Code to waive the major encroachment permit fees for a project to install and maintain mosaic tiles on the Vicha Ratanapakdee Way stairs located in the Anza Vista neighborhood between O'Farrell Street and Terra Anza Avenue and amending the Planning Code to waive the General Plan referral fee associated with this encroachment permit; affirming the Planning Commission’s determination under the California Environmental Quality Act; and making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1.",Aye,Land Use and Transportation Committee,240806
44,10/7/2024,"Ordinance amending the Planning Code to eliminate the public art requirement for 100% affordable housing projects and provide for the relocation or removal of existing artwork at such projects subject to certain conditions; affirming the Planning Commission’s determination under the California Environmental Quality Act; and making findings, including findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1.",Aye,Land Use and Transportation Committee,231268
45,10/7/2024,Resolution urging the City Attorney and the San Francisco Public Utilities Commission to immediately resolve its lawsuit regarding the Clean Water Act with the United States Environmental Protection Agency.,Aye,Land Use and Transportation Committee,240940
46,10/7/2024,Resolution urging the City Attorney and the San Francisco Public Utilities Commission to immediately resolve its lawsuit regarding the Clean Water Act with the United States Environmental Protection Agency.,Aye,Land Use and Transportation Committee,240940
47,10/1/2024,"Ordinance retroactively authorizing the Department of Public Works to accept and expend a grant in the amount of $12,000,000 from the Urban and Community Forest Program of the United States Department of Agriculture’s Forest Service to fund the Department of Public Works’ Justice, Jobs, and Trees Program, that will include tree planting, tree establishment, and urban forestry workforce development in disadvantaged communities for the period of July 1, 2024, through June 30, 2029; and retroactively amending Ordinance No. 167-24 (the Interim Annual Salary Ordinance for Fiscal Years 2024-2025 and",Aye,Board of Supervisors,240786
48,10/1/2024,"Ordinance designating a portion of the sidewalk near the corner of Woodland Avenue at Parnassus Avenue as the site of a future commemorative plaque in honor of the former activists of Woodland Avenue (Jane Morrison, Jack Morrison, Diana Roosevelt Jaicks, Agar Jaicks); granting the Public Works Director authority to approve the installation of said plaque to be installed at said location following the Director’s review of all permit application materials and the approval of the plaque design by the Design Review Committee of the Arts Commission; waiving permit and inspection fees under the Publ",Aye,Board of Supervisors,240801
49,10/1/2024,"Ordinance amending the Administrative Code to establish the Greater Downtown Community Benefit District Master Permitting for Entertainment Activation Program (“Greater Downtown Activation Program”) to coordinate and streamline permitting for Community Benefit District-sponsored public events taking place at certain locations in the Greater Downtown Area, and to designate Greater Downtown Activation Program locations as Entertainment Zones to allow the off-site consumption of alcoholic beverages purchased at businesses within the Entertainment Zone during events; amending the Public Works Code",Aye,Board of Supervisors,240804
50,10/1/2024,"Ordinance appropriating $30,500,000 consisting of $29,000,000 of one or more series of Certificates of Participation Series 2024A proceeds and $1,500,000 of projected parking revenues from operation of the Music Concourse Garage in the Recreation and Park Department (REC), and placing these funds on Controller’s Reserve pending the sale of the Certificates of Participation and acquisition of the Music Concourse Garage in Fiscal Year (FY) 2024-2025.",Aye,Board of Supervisors,240840
51,10/1/2024,"Ordinance delegating Board of Supervisors approval authority under Charter, Section 9.118(a), to the Department of Public Works to enter into and amend contracts with the Office of Community Investment and Infrastructure (“OCII”) for the Transbay Project; and authorizing the Department of Public Works to execute certain access agreements necessary to further the development of the Transbay Project.",Aye,Board of Supervisors,240841
52,10/1/2024,"Ordinance amending the Police Code to 1) prohibit persons from promoting a Vehicle Sideshow or preparations for such a sideshow; 2) prohibit persons from assembling together to obstruct the streets, sidewalks, highways, other public right-of-ways, off-street parking facilities, or private property in connection with a Vehicle Sideshow or preparations for such a sideshow; 3) prohibit persons from knowingly being present at a Vehicle Sideshow or preparations for such a sideshow for purposes of participating in the Vehicle Sideshow; 4) prohibit persons present at a Vehicle Sideshow or preparation",Aye,Board of Supervisors,240844
53,10/1/2024,"Ordinance amending the Police Code to 1) prohibit persons from promoting a Vehicle Sideshow or preparations for such a sideshow; 2) prohibit persons from assembling together to obstruct the streets, sidewalks, highways, other public right-of-ways, off-street parking facilities, or private property in connection with a Vehicle Sideshow or preparations for such a sideshow; 3) prohibit persons from knowingly being present at a Vehicle Sideshow or preparations for such a sideshow for purposes of participating in the Vehicle Sideshow; 4) prohibit persons present at a Vehicle Sideshow or preparation",Aye,Board of Supervisors,240844
54,10/1/2024,"Ordinance retroactively authorizing the Office of Economic and Workforce Development to accept and expend a grant in the amount of $14,000,000 from the California Economic Development Department for the California Jobs First Catalyst Program, for the grant period of May 1, 2024, through September 30, 2026; and exempting the California Jobs First Catalyst Program subgrants from the grantmaking requirements under Administrative Code, Chapter 21G, and all other provisions in the Administrative, Environment, and Labor and Employment Codes imposing obligations or restrictions on subgrantees related",Aye,Board of Supervisors,240842
55,10/1/2024,"Resolution retroactively authorizing the Department of Public Health to accept and expend a grant increase in the amount of $138,434 for a total amount of $173,063 from the National Institutes of Health through Florida State University for participation in a program, entitled “Adolescent Medicine Trials Network for HIV/AIDS Interventions (ATN) Scientific Leadership Center,” for the period of December 1, 2023, through November 30, 2024.",Aye,Board of Supervisors,240788
56,10/1/2024,"Resolution retroactively authorizing the Department of Public Health to accept and expend a grant in the amount of $177,860 from the Department of Health and Human Services through Heluna Health for participation in a program, entitled “MyPrEP Plus: Development and Pilot Testing of Novel Pre-Exposure Prophylaxis Support Tools for Transgender Women,” for the period of September 7, 2023, through September 6, 2025.",Aye,Board of Supervisors,240789
57,10/1/2024,"Resolution retroactively authorizing the Department of Public Health to accept and expend a grant increase from the National Institutes of Health through Heluna Health for participation in a program, entitled “The Bridge Clinic: Optimizing Injectable PrEP Delivery for Transgender and Non-Binary People,” in the amount of $88,930 for the period of February 22, 2024, through January 31, 2025, for a total amount of $160,074 for the total period of April 1, 2023, through January 31, 2025.",Aye,Board of Supervisors,240850
58,10/1/2024,"Resolution approving Amendment No. 6 to Contract No. 1000029167 between the City, acting by and through the Department of Public Works, and Hunters Point Family, to create employment opportunities, job training and workforce development programs, and ensure the availability of safe and clean public restrooms for the Pit Stop Workforce Development Grant Program, extending the term by nine months for a total term of July 1, 2023, through June 30, 2025, increasing the contract amount by $6,972,047.52 for a new total not to exceed amount from of $16,238,478.52; and to authorize the Director of Pub",Aye,Board of Supervisors,240829
59,10/1/2024,"Resolution authorizing the Environment Department to accept and expend an in-kind gift of pro bono tax services, with an estimated value of $112,089 for a term of engagement effective upon approval of this Resolution through May 31, 2025, provided by Deloitte Tax LLP, to help the City identify opportunities to obtain federal tax credits for qualifying sustainability activities, and authorizing the Director of the Environment Department or the Director’s designee, to enter into and execute the agreement, and amendments thereto, consistent with the proposal and necessary to carry out the purpose",Aye,Board of Supervisors,240836
60,10/1/2024,"Resolution 1) approving and authorizing the Director of Property and the Mayor’s Office of Housing and Community Development (“MOHCD”) to enter into a Commercial Ground Lease for Real Property owned by the City and located at 725 Davis Street (the “Commercial Property”) with Broadway Davis Retail Associates LLC, for a lease term of 70 years and one 24-year option to extend and an annual base rent of $1 (“Commercial Ground Lease”), in order to develop ground floor commercial space for community-serving uses (“Commercial Project”); 2) approving and authorizing the Director of Property and the Di",Aye,Board of Supervisors,240849
61,10/1/2024,"Resolution 1) approving and authorizing the Director of Property and the Executive Director of the Department of Homelessness and Supportive Housing (“HSH”) to enter into a Ground Lease with Five Keys Schools and Programs for the real property owned by the City, located at 42 Otis Street (the “Property”), for an initial lease term of five years with 10 automatic extensions of the lease term for an additional period of five years each and a total rent not to exceed $1 in order to operate the Property as permanent supportive housing; 2) determining in accordance with Administrative Code, Section",Aye,Board of Supervisors,240882
62,10/1/2024,"Resolution 1) approving and authorizing the Director of Property, on behalf of the San Francisco Mayor’s Office of Housing and Community Development (“MOHCD”), to acquire real property located at 3300, 3306, and 3308 Mission Street (“Property"""") from 3300 Mission Partners L.P. (“Borrower”) for $4,151,000 under an Agreement for Purchase and Sale (“Purchase Agreement”); 2) placing the Property under the jurisdiction of MOHCD for use in constructing affordable housing; 3) approving and authorizing the Director of Property and the Director of MOHCD to enter into a Ground Lease to lease the Property",Aye,Board of Supervisors,240884
63,10/1/2024,"Resolution responding to the Presiding Judge of the Superior Court on the findings and recommendations contained in the 2023-2024 Civil Grand Jury Report, entitled """"Come Hell or Highwater: Flood Management in a Changing Climate;"""" and urging the Mayor to cause the implementation of accepted findings and recommendations through her department heads and through the development of the annual budget.",Aye,Board of Supervisors,240668
64,10/1/2024,"Resolution responding to the Presiding Judge of the Superior Court on the findings and recommendations contained in the 2023-2024 Civil Grand Jury Report, entitled """"Commission Impossible? Getting the Most from San Francisco’s Commissions""""; and urging the Mayor to cause the implementation of accepted findings and recommendations through her department heads and through the development of the annual budget.",Aye,Board of Supervisors,240709
65,10/1/2024,"Resolution responding to the Presiding Judge of the Superior Court on the findings and recommendations contained in the 2023-2024 Civil Grand Jury Report, entitled """"Commission Impossible? Getting the Most from San Francisco’s Commissions""""; and urging the Mayor to cause the implementation of accepted findings and recommendations through her department heads and through the development of the annual budget.",Aye,Board of Supervisors,240709
66,10/1/2024,"Resolution responding to the Presiding Judge of the Superior Court on the findings and recommendations contained in the 2023-2024 Civil Grand Jury Report, entitled """"Building San Francisco Designing, Constructing, and Maintaining City Infrastructure""""; and urging the Mayor to cause the implementation of accepted findings and recommendations through her department heads and through the development of the annual budget.",Aye,Board of Supervisors,240711
67,10/1/2024,"Resolution responding to the Presiding Judge of the Superior Court on the findings and recommendations contained in the 2023-2024 Civil Grand Jury Report, entitled """"Lifting the Fog: On Budgets, Innovation, Silos, and More""""; and urging the Mayor to cause the implementation of accepted findings and recommendations through her department heads and through the development of the annual budget.",Aye,Board of Supervisors,240720
68,10/1/2024,"Ordinance amending the Planning Code and Zoning Map to establish the 555 9th Street Special Sign District encompassing the real property consisting of Assessor’s Parcel Block No. 3781, Lot No. 003, and to modify sign controls for the existing shopping center; affirming the Planning Department’s determination under the California Environmental Quality Act; making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1; and making findings of public necessity, convenience, and welfare under Planning Code, Section 302.",Aye,Board of Supervisors,240438
69,10/1/2024,"Ordinance amending the Administrative Code to expand the San Francisco Public Utilities Commission’s (SFPUC) Social Impact Partnership Program by requiring that all covered contracts that include a Social Impact commitment, including those contracts that were solicited before April 22, 2023, increase such commitment upon amendment or modification of the contract and by removing the minimum threshold for applicable amendments or modifications.",Aye,Board of Supervisors,240808
70,10/1/2024,"Motion appointing Claudia Quinonez (residency requirement waived), term ending March 19, 2027, to the Child Care Planning and Advisory Council (District 4).",Aye,Board of Supervisors,240835
71,10/1/2024,"Motion appointing Melinda Burrus, term ending December 31, 2024, to the Sugary Drinks Distributor Tax Advisory Committee.",Aye,Board of Supervisors,240866
72,10/1/2024,"Ordinance amending the Building Code to excuse the requirement for professionally prepared architectural drawings for building permits to change certain use designations that do not increase occupant load or occupancy class, or include alterations; and affirming the Planning Department’s determination under the California Environmental Quality Act.",Aye,Board of Supervisors,240798
73,10/1/2024,"Resolution urging San Francisco Unified School District Superintendent, Dr. Matt Wayne, to reevaluate his plan for citywide school closures and/or mergers and work with the California Department of Education on fiscal solvency, including an audit of existing budget systems, developing an in-depth benefit and cost saving analysis, exploring options before considering school closures or mergers, and supporting upcoming revenue measures.",Aye,Board of Supervisors,240938
74,10/1/2024,"Resolution proclaiming October 2024 as the first “San Francisco Stairway Month” in the City and County of San Francisco and supporting community beautification projects, encourage neighborhood exploration, and inspire San Francisco's inhabitants, elected officials, and city workers to find their nearest, or furthest, staircase and partake in San Francisco Stairway Month events and activities.",Aye,Board of Supervisors,240939
75,10/1/2024,"Motion scheduling the Board of Supervisors to sit as a Committee of the Whole, on October 1, 2024, at 3:00 p.m., to hold a public hearing to examine the unaccounted for $20,000,000 in the San Francisco Unified School District’s (SFUSD) budget for Special Education and the unfilled positions that support SFUSD’s Special Education work, and the $8,400,000 from the Student Success Fund the Mayor allocated to the newly announced School Stabilization Team.",Aye,Board of Supervisors,240942
76,10/1/2024,"Motion scheduling the Board of Supervisors to sit as a Committee of the Whole on October 1, 2024, at 3:00 p.m., to hold a public hearing to consider an Ordinance authorizing the Department of Public Health to amend an existing grant to Planned Parenthood Northern California by increasing the not to exceed amount by $171,000 for a total not to exceed amount of $571,000 to fund security personnel to support access to family planning and other sexual and reproductive healthcare services, with no changes to the grant term of April 1, 2023, through March 31, 2025; and waiving the competitive solici",Aye,Board of Supervisors,240945
77,10/1/2024,"Resolution supporting United States House of Representatives Bill H.R. 9662, the Homes Act, introduced by United States Senator Tina Smith and Representative Alexandria Ocasio-Cortez, to address the affordable housing crisis by establishing a national Housing Development Authority to create permanently affordable, climate-resilient housing and provide an alternative to market-rate housing.",Aye,Board of Supervisors,240941
78,10/1/2024,"Ordinance authorizing the Department of Public Health to amend an existing grant to Planned Parenthood Northern California by increasing the not to exceed amount by $171,000 for a total not to exceed amount of $571,000 to fund security personnel to support access to family planning and other sexual and reproductive healthcare services, with no changes to the grant term of April 1, 2023, through March 31, 2025; and waiving the competitive solicitation requirements in the Administrative Code.",Aye,Board of Supervisors,240930
79,9/30/2024,"Ordinance amending the Building Code to excuse the requirement for professionally prepared architectural drawings for building permits to change certain use designations that do not increase occupant load or occupancy class, or include alterations; and affirming the Planning Department’s determination under the California Environmental Quality Act.",Aye,Land Use and Transportation Committee,240798
80,9/30/2024,"Ordinance amending the Administrative Code to provide that newly constructed dwelling units that first received a certificate of occupancy between June 14, 1979, and June 13, 1994, shall be generally subject to rent control, to the extent authorized by a future modification or repeal of the Costa-Hawkins Rental Housing Act; and making certain changes to clarify existing law regarding rent control exemptions under Costa-Hawkins.",Aye,Land Use and Transportation Committee,240880
81,9/30/2024,"Ordinance amending the Administrative Code to provide that newly constructed dwelling units that first received a certificate of occupancy between June 14, 1979, and June 13, 1994, shall be generally subject to rent control, to the extent authorized by a future modification or repeal of the Costa-Hawkins Rental Housing Act; and making certain changes to clarify existing law regarding rent control exemptions under Costa-Hawkins.",Aye,Land Use and Transportation Committee,240880
82,9/30/2024,"Ordinance amending the Administrative Code to provide that newly constructed dwelling units that first received a certificate of occupancy between June 14, 1979, and November 5, 2024, shall be generally subject to rent control, to the extent authorized by a future modification or repeal of the Costa-Hawkins Rental Housing Act; and making certain changes to clarify existing law regarding rent control exemptions under Costa-Hawkins.",Aye,Land Use and Transportation Committee,240964
