ID,Action Date,Title,Vote,Meeting Body,File #,category,summary,scorer_field,affordable_housing_development_score,tenant_protections_score,homelessness_and_supportive_housing_score,faster_permitting_process_and_bureaucracy_score,land_use_and_zoning_reform_score
12,2024-10-08 00:00:00,"Resolution approving the Contract Amendment between the City, acting by and through the Office of Contract Administration (OCA), and W.W. Grainger, Inc. for the purchase of Industrial Supplies by City departments, increasing the amount by $25,000,000 for a total not to exceed amount of $32,000,000 with no changes to the term of two years, nine months and 27 days from January 12, 2024, through November 8, 2026; and to authorize OCA to enter into amendments or modifications to the Amendment that do not materially increase the obligations or liabilities to the City and are necessary to effectuate",Aye,Board of Supervisors,240838.0,Non-Housing/NaN,"""SF approves $25M increase for Industrial Supplies contract with W.W. Grainger, Inc. No term changes, total not to exceed $32M.""","""Non-Housing/NaN"", ""Aye"", ""Resolution approving the Contract Amendment between the City, acting by and through the Office of Contract Administration (OCA), and W.W. Grainger, Inc. for the purchase of Industrial Supplies by City departments, increasing the amount by $25,000,000 for a total not to exceed amount of $32,000,000 with no changes to the term of two years, nine months and 27 days from January 12, 2024, through November 8, 2026; and to authorize OCA to enter into amendments or modifications to the Amendment that do not materially increase the obligations or liabilities to the City and are necessary to effectuate""",0.0,0.0,0.0,0.0,0.0
13,2024-10-08 00:00:00,"Resolution authorizing the Sheriff’s Office to execute a Third Amendment to the existing Agreement with ARAMARK Correctional Services, LLC (ARAMARK), for jail food services to exercise the final option to extend the contract term for 12 months from November 1, 2024, for a total term of November 1, 2018, through October 31, 2025; and to increase the not to exceed contract amount from $20,000,000 to $24,783,723.",Aye,Board of Supervisors,240862.0,Non-Housing/NaN,"SF extends ARAMARK jail food service contract to Oct 2025, increasing amount to $24,783,723.","""Non-Housing/NaN"", ""Aye"", ""Resolution authorizing the Sheriff’s Office to execute a Third Amendment to the existing Agreement with ARAMARK Correctional Services, LLC (ARAMARK), for jail food services to exercise the final option to extend the contract term for 12 months from November 1, 2024, for a total term of November 1, 2018, through October 31, 2025; and to increase the not to exceed contract amount from $20,000,000 to $24,783,723.""",0.0,0.0,0.0,0.0,0.0
14,2024-10-08 00:00:00,"Resolution approving Contract Amendment No. 4 to the agreement between the City, acting by and through the Office of Contract Administration, and Golden Gate Petroleum for the provision of renewable diesel, increasing the contract amount by $15,595,000 for a total not to exceed amount of $102,345,000 and extending the duration by eight months, for a total term of six years and one month, from June 1, 2019, through June 30, 2025; authorizing the Office of Contract Administration to further amend the agreement, if necessary, increasing the contract amount up to a maximum not to exceed amount of",Aye,Board of Supervisors,240864.0,Non-Housing/NaN,"SF approves $15.6M contract amendment with Golden Gate Petroleum for renewable diesel, total $102.3M, extending term to June 2025.","""Non-Housing/NaN"", ""Aye"", ""Resolution approving Contract Amendment No. 4 to the agreement between the City, acting by and through the Office of Contract Administration, and Golden Gate Petroleum for the provision of renewable diesel, increasing the contract amount by $15,595,000 for a total not to exceed amount of $102,345,000 and extending the duration by eight months, for a total term of six years and one month, from June 1, 2019, through June 30, 2025; authorizing the Office of Contract Administration to further amend the agreement, if necessary, increasing the contract amount up to a maximum not to exceed amount of""",0.0,0.0,0.0,0.0,0.0
15,2024-10-08 00:00:00,"Resolution approving Contract Amendment No. 2 to the agreement between City, acting by and through the Office of Contract Administration, and Mansfield Oil Company of Gainesville, Inc. for the provision of gasoline, increasing the contract amount by $7,538,000 for a total not to exceed amount of $17,513,000 and extending the duration by seven months and 14 days, for a total term of one year, seven months, and 14 days, from November 17, 2023, through June 30, 2025; authorizing the Office of Contract Administration to further amend the agreement, if necessary, increasing the contract amount up t",Aye,Board of Supervisors,240865.0,Non-Housing/NaN,"SF approves $7.5M gas contract extension with Mansfield Oil, totaling $17.5M, lasting until June 30, 2025.","""Non-Housing/NaN"", ""Aye"", ""Resolution approving Contract Amendment No. 2 to the agreement between City, acting by and through the Office of Contract Administration, and Mansfield Oil Company of Gainesville, Inc. for the provision of gasoline, increasing the contract amount by $7,538,000 for a total not to exceed amount of $17,513,000 and extending the duration by seven months and 14 days, for a total term of one year, seven months, and 14 days, from November 17, 2023, through June 30, 2025; authorizing the Office of Contract Administration to further amend the agreement, if necessary, increasing the contract amount up t""",0.0,0.0,0.0,0.0,0.0
16,2024-10-08 00:00:00,"Resolution authorizing the Port of San Francisco to accept and expend a grant award in the amount of $7,800,000 from the California Coastal Conservancy Climate Ready Program, for Southern Embarcadero Resilience and Enhancement Project for the period of October 1, 2024, through May 31, 2027.",Aye,Board of Supervisors,240886.0,Land Use and Zoning Reforms,SF Port authorized $7.8M grant for Embarcadero Resilience Project from CA Coastal Conservancy.,"""Land Use and Zoning Reforms"", ""Aye"", ""Resolution authorizing the Port of San Francisco to accept and expend a grant award in the amount of $7,800,000 from the California Coastal Conservancy Climate Ready Program, for Southern Embarcadero Resilience and Enhancement Project for the period of October 1, 2024, through May 31, 2027.""",0.0,0.0,0.0,0.0,0.5
17,2024-10-08 00:00:00,Ordinance amending the Housing Code to require R-1 and R-2 occupancy group buildings to maintain at least one existing elevator for residents’ use; and affirming the Planning Department’s determination under the California Environmental Quality Act.,Aye,Board of Supervisors,240807.0,Affordable Housing Development,SF ordinance mandates elevators in R-1 and R-2 buildings for residents; confirms Planning Dept decision under CEQA.,"""Affordable Housing Development"", ""Aye"", ""Ordinance amending the Housing Code to require R-1 and R-2 occupancy group buildings to maintain at least one existing elevator for residents’ use; and affirming the Planning Department’s determination under the California Environmental Quality Act.""",0.5,0.0,0.0,0.0,0.0
18,2024-10-08 00:00:00,"Motion scheduling the Board of Supervisors to sit as a Committee of the Whole, on October 8, 2024, at 3:00 p.m., to hold a public hearing on the state of the hotel industry in San Francisco and the conditions for guests and workers within the industry, and the """"Status of the San Francisco Economy"""" report; and requesting the City Controller to report.",Aye,Board of Supervisors,240972.0,Homelessness and Supportive Housing,"SF Board to discuss hotel industry & economy status on Oct 8, 2024, 3:00 pm. City Controller to report.","""Homelessness and Supportive Housing"", ""Aye"", ""Motion scheduling the Board of Supervisors to sit as a Committee of the Whole, on October 8, 2024, at 3:00 p.m., to hold a public hearing on the state of the hotel industry in San Francisco and the conditions for guests and workers within the industry, and the """"Status of the San Francisco Economy"""" report; and requesting the City Controller to report.""",0.0,0.0,0.0,0.0,0.0
19,2024-10-08 00:00:00,"Resolution approving a sixth amendment to Contract 1000020021 between the City, acting by and through the Office of Contract Administration (OCA), and Sunset Scavenger Company d/b/a Recology Sunset Scavenger, Golden Gate Disposal & Recycling Company d/b/a Recology Golden Gate, and Recology San Francisco (collectively “Contractor”) for refuse collection services at City facilities, increasing the contract amount by $1,500,000 for a total not to exceed amount of $45,300,000; and extending the duration of the term by two months from November 1, 2024, for a total contract term of December 1, 2020,",Aye,Board of Supervisors,240863.0,Non-Housing/NaN,"SF extends refuse collection contract with Recology, adding $1.5M and 2 months to reach $45.3M total.","""Non-Housing/NaN"", ""Aye"", ""Resolution approving a sixth amendment to Contract 1000020021 between the City, acting by and through the Office of Contract Administration (OCA), and Sunset Scavenger Company d/b/a Recology Sunset Scavenger, Golden Gate Disposal & Recycling Company d/b/a Recology Golden Gate, and Recology San Francisco (collectively “Contractor”) for refuse collection services at City facilities, increasing the contract amount by $1,500,000 for a total not to exceed amount of $45,300,000; and extending the duration of the term by two months from November 1, 2024, for a total contract term of December 1, 2020,""",0.0,0.0,0.0,0.0,0.0
20,2024-10-08 00:00:00,"Ordinance amending the Administrative Code to provide that newly constructed dwelling units that first received a certificate of occupancy between June 14, 1979, and June 13, 1994, shall be generally subject to rent control, to the extent authorized by a future modification or repeal of the Costa-Hawkins Rental Housing Act; and making certain changes to clarify existing law regarding rent control exemptions under Costa-Hawkins.",No,Board of Supervisors,240880.0,Tenant Protections,SF ordinance expands rent control to units built 1979-1994 pending Costa-Hawkins changes. Clarifies exemptions.,"""Tenant Protections"", ""No"", ""Ordinance amending the Administrative Code to provide that newly constructed dwelling units that first received a certificate of occupancy between June 14, 1979, and June 13, 1994, shall be generally subject to rent control, to the extent authorized by a future modification or repeal of the Costa-Hawkins Rental Housing Act; and making certain changes to clarify existing law regarding rent control exemptions under Costa-Hawkins.""",0.0,"- Reduction in Evictions: This policy amendment could potentially lead to a reduction in evictions by subjecting newly constructed dwelling units to rent control, providing tenants with more stability and protection from arbitrary evictions. 
- Stabilization of Rent: By subjecting these units to rent control, the policy aims to stabilize rent increases for tenants, ensuring that they are not subjected to sudden and unaffordable hikes in rent prices. 
- Enhanced Legal Protections: The clarification of existing law regarding rent control exemptions under Costa-Hawkins could enhance legal protections for tenants, closing potential loopholes that landlords may exploit to the detriment of tenants.

Overall, this policy seems to be focused on enhancing tenant protections by extending rent control to certain newly constructed units and clarifying existing laws. Therefore, the score for ""Tenant Protections"" would be: 

Score: 0.8",0.0,0.0,0.0
21,2024-10-08 00:00:00,"Ordinance amending the Administrative Code to provide that newly constructed dwelling units that first received a certificate of occupancy between June 14, 1979, and June 13, 1994, shall be generally subject to rent control, to the extent authorized by a future modification or repeal of the Costa-Hawkins Rental Housing Act; and making certain changes to clarify existing law regarding rent control exemptions under Costa-Hawkins.",Aye,Board of Supervisors,240880.0,Tenant Protections,SF ordinance expands rent control to units built 1979-1994 pending Costa-Hawkins changes. Clarifies exemptions.,"""Tenant Protections"", ""Aye"", ""Ordinance amending the Administrative Code to provide that newly constructed dwelling units that first received a certificate of occupancy between June 14, 1979, and June 13, 1994, shall be generally subject to rent control, to the extent authorized by a future modification or repeal of the Costa-Hawkins Rental Housing Act; and making certain changes to clarify existing law regarding rent control exemptions under Costa-Hawkins.""",0.0,0.8,0.0,0.0,0.0
22,2024-10-08 00:00:00,"Ordinance amending the Administrative Code to provide that newly constructed dwelling units that first received a certificate of occupancy between June 14, 1979, and June 13, 1994, shall be generally subject to rent control, to the extent authorized by a future modification or repeal of the Costa-Hawkins Rental Housing Act; and making certain changes to clarify existing law regarding rent control exemptions under Costa-Hawkins.",Aye,Board of Supervisors,240880.0,Tenant Protections,SF ordinance expands rent control to units built 1979-1994 pending Costa-Hawkins changes. Clarifies exemptions.,"""Tenant Protections"", ""Aye"", ""Ordinance amending the Administrative Code to provide that newly constructed dwelling units that first received a certificate of occupancy between June 14, 1979, and June 13, 1994, shall be generally subject to rent control, to the extent authorized by a future modification or repeal of the Costa-Hawkins Rental Housing Act; and making certain changes to clarify existing law regarding rent control exemptions under Costa-Hawkins.""",0.0,0.8,0.0,0.0,0.0
23,2024-10-08 00:00:00,"Ordinance amending the Administrative Code to provide for the confidentiality of client information received by the Office of Victim and Witness Rights (“OVWR”); establish and clarify the responsibilities of OVWR; move the Office of Sexual Harassment and Assault Response and Prevention (“SHARP”) from the Human Rights Commission to OVWR, and require SHARP to offer trauma-informed assistance to victims in navigating City processes, including by supporting victims in non-custodial law enforcement interviews, provided a SHARP employee’s presence does not obstruct a police investigation or interfer",Aye,Board of Supervisors,240700.0,Tenant Protections,"SF ordinance enhances victim services, confidentiality, and SHARP responsibilities under OVWR for trauma-informed assistance.","""Tenant Protections"", ""Aye"", ""Ordinance amending the Administrative Code to provide for the confidentiality of client information received by the Office of Victim and Witness Rights (“OVWR”); establish and clarify the responsibilities of OVWR; move the Office of Sexual Harassment and Assault Response and Prevention (“SHARP”) from the Human Rights Commission to OVWR, and require SHARP to offer trauma-informed assistance to victims in navigating City processes, including by supporting victims in non-custodial law enforcement interviews, provided a SHARP employee’s presence does not obstruct a police investigation or interfer""",0.0,0.8,0.0,0.0,0.0
24,2024-10-08 00:00:00,"Resolution determining that the transfer of a Type-21 off-sale general beer, wine, and distilled spirits liquor license to Union & Hyde LLC., doing business as Union & Hyde, located at 1210 Union Street (District 3), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose a condition on the issuance of the license.",Aye,Board of Supervisors,240785.0,Land Use and Zoning Reforms,"SF approves liquor license transfer to Union & Hyde LLC at 1210 Union St, District 3, for public convenience, with state-imposed condition.","""Land Use and Zoning Reforms"", ""Aye"", ""Resolution determining that the transfer of a Type-21 off-sale general beer, wine, and distilled spirits liquor license to Union & Hyde LLC., doing business as Union & Hyde, located at 1210 Union Street (District 3), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose a condition on the issuance of the license.""",0.0,0.0,0.0,0.0,0.0
25,2024-10-08 00:00:00,"Resolution determining that the issuance of a Type-90 on-sale general music venue liquor license to 3089 16th Street LLC, to do business as Skylark located at 3089-16th Street (District 9), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose conditions on the issuance of the license.",Aye,Board of Supervisors,240822.0,Land Use and Zoning Reforms,"SF approves Type-90 liquor license for Skylark at 3089-16th Street, District 9, with public benefit conditions.","""Land Use and Zoning Reforms"", ""Aye"", ""Resolution determining that the issuance of a Type-90 on-sale general music venue liquor license to 3089 16th Street LLC, to do business as Skylark located at 3089-16th Street (District 9), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose conditions on the issuance of the license.""",0.0,0.0,0.0,0.0,0.4
26,2024-10-08 00:00:00,"Ordinance amending the Administrative Code to establish two Entertainment Zones: the Mid-Market Entertainment Zone, on Market Street between 5th Street and 6th Street, with eastern boundaries at Mason Street on the north side of Market Street and at 5th Street on the south side of Market Street, and western boundaries at the intersection of Golden Gate Avenue and Taylor Street on the north side of Market Street and at 6th Street on the south side of Market Street; and the Arena Entertainment Zone, bounded by Warriors Way on the north, Terry A. Francois Boulevard on the east, 16th Street on the",Aye,Board of Supervisors,240843.0,Land Use and Zoning Reforms,SF establishes Mid-Market and Arena Entertainment Zones for cultural and economic development.,"""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance amending the Administrative Code to establish two Entertainment Zones: the Mid-Market Entertainment Zone, on Market Street between 5th Street and 6th Street, with eastern boundaries at Mason Street on the north side of Market Street and at 5th Street on the south side of Market Street, and western boundaries at the intersection of Golden Gate Avenue and Taylor Street on the north side of Market Street and at 6th Street on the south side of Market Street; and the Arena Entertainment Zone, bounded by Warriors Way on the north, Terry A. Francois Boulevard on the east, 16th Street on the""",0.0,0.0,0.0,0.0,0.5
27,2024-10-08 00:00:00,Ordinance amending the Building Code to allow new construction that complies with the Design Guidelines for Electric-Ready Buildings to install gas infrastructure to serve appliances covered by the Energy Policy and Conservation Act (EPCA); adopting findings of local conditions under the California Health and Safety Code; affirming the Planning Department’s determination under the California Environmental Quality Act; and directing the Clerk of the Board of Supervisors to forward this Ordinance to the California Building Standards Commission upon final passage.,Aye,Board of Supervisors,240845.0,Land Use and Zoning Reforms,"SF ordinance allows gas in electric-ready buildings for EPCA appliances, with local health and safety findings.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance amending the Building Code to allow new construction that complies with the Design Guidelines for Electric-Ready Buildings to install gas infrastructure to serve appliances covered by the Energy Policy and Conservation Act (EPCA); adopting findings of local conditions under the California Health and Safety Code; affirming the Planning Department’s determination under the California Environmental Quality Act; and directing the Clerk of the Board of Supervisors to forward this Ordinance to the California Building Standards Commission upon final passage.""",0.0,0.0,0.0,0.0,0.4
28,2024-10-08 00:00:00,Resolution urging the City Attorney and the San Francisco Public Utilities Commission to immediately resolve its lawsuit regarding the Clean Water Act with the United States Environmental Protection Agency.,Aye,Board of Supervisors,240940.0,Non-Housing,SF resolution urges swift resolution of Clean Water Act lawsuit with EPA.,"""Non-Housing"", ""Aye"", ""Resolution urging the City Attorney and the San Francisco Public Utilities Commission to immediately resolve its lawsuit regarding the Clean Water Act with the United States Environmental Protection Agency.""",0.0,0.0,0.0,0.0,0.0
29,2024-10-08 00:00:00,Resolution urging the City Attorney and the San Francisco Public Utilities Commission to immediately resolve its lawsuit regarding the Clean Water Act with the United States Environmental Protection Agency.,Aye,Board of Supervisors,240940.0,Non-Housing,SF resolution urges swift resolution of Clean Water Act lawsuit with EPA.,"""Non-Housing"", ""Aye"", ""Resolution urging the City Attorney and the San Francisco Public Utilities Commission to immediately resolve its lawsuit regarding the Clean Water Act with the United States Environmental Protection Agency.""",0.0,0.0,0.0,0.0,0.0
30,2024-10-08 00:00:00,"Motion approving the Mayor's nomination for the appointment of Avni Jamdar to the Public Utilities Commission, for a term ending August 1, 2028.",Aye,Board of Supervisors,240867.0,Non-Housing/NaN,SF approves Avni Jamdar for Public Utilities Commission until 2028.,"""Non-Housing/NaN"", ""Aye"", ""Motion approving the Mayor's nomination for the appointment of Avni Jamdar to the Public Utilities Commission, for a term ending August 1, 2028.""",0.0,0.0,0.0,0.0,0.0
31,2024-10-08 00:00:00,"Motion approving the Mayor's nomination for the appointment of Joshua Arce to the Public Utilities Commission, for a term ending August 1, 2026.",Aye,Board of Supervisors,240868.0,Non-Housing/NaN,SF approves Mayor's nomination of Joshua Arce to Public Utilities Commission until 2026.,"""Non-Housing/NaN"", ""Aye"", ""Motion approving the Mayor's nomination for the appointment of Joshua Arce to the Public Utilities Commission, for a term ending August 1, 2026.""",0.0,0.0,0.0,0.0,0.0
32,2024-10-08 00:00:00,"Motion approving the Mayor's nomination for the appointment of Stephen Leveroni to the Public Utilities Commission, for a term ending August 1, 2028.",Aye,Board of Supervisors,240869.0,Non-Housing/NaN,SF approves Stephen Leveroni for Public Utilities Commission until 2028.,"""Non-Housing/NaN"", ""Aye"", ""Motion approving the Mayor's nomination for the appointment of Stephen Leveroni to the Public Utilities Commission, for a term ending August 1, 2028.""",0.0,0.0,0.0,0.0,0.0
33,2024-10-08 00:00:00,"Motion authorizing City Employees to assist the Department of Elections with the November 5, 2024, Consolidated General Election.",Aye,Board of Supervisors,240971.0,Non-Housing,"SF authorizes City Employees to aid Elections for Nov 5, 2024.","""Non-Housing"", ""Aye"", ""Motion authorizing City Employees to assist the Department of Elections with the November 5, 2024, Consolidated General Election.""",0.0,0.0,0.0,0.0,0.0
